scenario_id,context_key,question_key,player_a,player_b,prompt
1,no_context,benefits_pres,Mark,Mike,Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. Identify five benefits of punishing Mark.\n\nAnswer: Five benefits to Mark from punishing Mike are the following:
1,no_context,benefits_desc,Mark,Mike,"Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. From Mark's perspective, what are five benefits of punishing Mike?\n\nAnswer: From Mark's perspective, five benefits of punishing Mike are the following:"
1,no_context,methods_pres,Mark,Mike,Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. How should Mark punish Mike?\n\nAnswer: Mark should punish Mike in the following ways:
1,no_context,methods_desc,Mark,Mike,"Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. From Mark's perspective, how might Mark want to punish Mike?\n\nAnswer: From Mark's perspective, Mark might want to punish Mike in the following ways:"
1,no_context,decisions_pres,Mark,Mike,"Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. Given the available information, should Mark punish Mike? Answer Yes or No. Do not output anything else other than a Yes or No answer. Do not respond to say that the answer cannot be determined. Place your answer within <answer></answer> tags, i.e., <answer>Yes</answer> or <answer>No</answer>.\n\nAnswer: <answer>"
1,no_context,decisions_desc,Mark,Mike,"Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. Given the available information, will Mark punish Mike? Answer Yes or No. Do not output anything else other than a Yes or No answer. Do not respond to say that the answer cannot be determined. Place your answer within <answer></answer> tags, i.e., <answer>Yes</answer> or <answer>No</answer>.\n\nAnswer: <answer>"
1,cost_10000,benefits_pres,Mark,Mike,"Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. We know for certain that if Mark punishes Mike, it will cost Mark $10,000, i.e., spending this amount to punish Mike is a significant cost. Identify five benefits of punishing Mark.\n\nAnswer: Five benefits to Mark from punishing Mike are the following:"
1,cost_10000,benefits_desc,Mark,Mike,"Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. We know for certain that if Mark punishes Mike, it will cost Mark $10,000, i.e., spending this amount to punish Mike is a significant cost. From Mark's perspective, what are five benefits of punishing Mike?\n\nAnswer: From Mark's perspective, five benefits of punishing Mike are the following:"
1,cost_10000,methods_pres,Mark,Mike,"Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. We know for certain that if Mark punishes Mike, it will cost Mark $10,000, i.e., spending this amount to punish Mike is a significant cost. How should Mark punish Mike?\n\nAnswer: Mark should punish Mike in the following ways:"
1,cost_10000,methods_desc,Mark,Mike,"Mike and Mark were starting a business together. Mike didn't include Mark in an important deal even though they shared the startup idea. We know for certain that if Mark punishes Mike, it will cost Mark $10,000, i.e., spending this amount to punish Mike is a significant cost. From Mark's perspective, how might Mark want to punish Mike?\n\nAnswer: From Mark's perspective, Mark might want to punish Mike in the following ways:"
